id,category_id,name,slug,short_description,description,sku,price,compare_price,stock,featured,bestseller,is_active,image_url,seo_title,seo_description,created_at,updated_at
"b6bc6cfb-5890-4ba3-971e-4b21b7174656","29cc1f46-b200-4519-8080-b2972d36ba5b","Premium Foam Flowers Pack (100pcs)","premium-foam-flowers-pack","Pack of 100 premium artificial foam flowers for garland making.","Premium high-density soft foam flowers, designed for long-lasting visual appeal. Perfect for garland making, wedding decorations, and festive home styling. Durable, vibrant, and soft-touch.

[Search Tags: Foam, Garland, Decoration, Wedding, DIY, Artificial, Festival, Craft, Temple, Home Decor]
[Keywords: foam flowers, artificial flowers, garland materials, wedding decor, DIY craft, festive supplies]","MNB-FF-001","150","195","100","true","true","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/foam-flowers/premium-foam-flowers-pack-collage.png","Buy Premium Foam Flowers Pack of 100 | Me Nestham","Purchase high-quality artificial foam flowers for garland making & home decor. Available in 19 vibrant colors with bulk pricing at Me Nestham.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"a19e6bc5-620e-4c38-97d2-92a8505ab9a4","6a2ef138-fac5-45bd-bc2e-24a7368c6fbb","Handcrafted Small Gold Zari Balls (10pcs)","handcrafted-small-gold-zari-balls","Set of 10 small gold zari balls for traditional garland crafting.","Exquisite handcrafted small gold zari balls (~3cm diameter) wrapped with high-quality gold thread. Adds a premium traditional touch to garlands, wall hanging crafts, and festive backdrops.

[Search Tags: Gold, Zari, Ball, Garland, Decoration, Wedding, DIY, Craft, Temple, Home Decor]
[Keywords: gold zari balls, small zari balls, garland accessories, craft balls, indian decoration]","MNB-DB-001","80","104","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/decorative-balls/handcrafted-small-gold-zari-balls-main.png","Handcrafted Small Gold Zari Balls (Pack of 10) | Me Nestham","Shop beautiful 3cm gold zari balls for garland making & crafts. Pack of 10 at the best price. Authentic festive decor supplies.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"b5b31b23-129d-423a-b1c3-7d892cf8584f","97275516-d560-4b92-8fc0-425f89348e44","Conical Golden Filigree Bells (10pcs)","conical-golden-filigree-bells","Pack of 10 elegant conical golden filigree bells for decorations.","High-quality conical golden filigree bells. Features beautiful metallic patterns that reflect light brilliantly, perfect for wedding garlands, door hangings, and decorative crafts.

[Search Tags: Bells, Gold, Filigree, Garland, Decoration, Wedding, DIY, Craft, Temple, Home Decor]
[Keywords: golden bells, filigree bells, conical bells, garland bells, decorative bells]","MNB-BL-001","90","117","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/bells/conical-golden-filigree-bells-main.png","Conical Golden Filigree Bells (Pack of 10) | Me Nestham","Premium quality golden filigree bells for garland making and traditional hangings. Pack of 10 bells at ₹90 only.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"c09f6f44-c922-438a-a0bc-c7c9d3394d21","f5139b07-6ca4-4085-801e-d0d636d84b21","Metallic Gold Ribbon Flowers","metallic-gold-ribbon-flowers","Shiny metallic gold ribbon flowers for garland separators and crafts.","Elegant golden artificial ribbon flowers with a subtle green stem. Very versatile for garland separators, wrapping accents, and floral jewelry making.

[Search Tags: Gold, Ribbon, Flower, Garland, Artificial, Decoration, DIY, Craft, Temple, Home Decor]
[Keywords: gold ribbon flowers, artificial gold flowers, garland flowers, flower spacers]","MNB-AF-001","10","13","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/artificial-flowers/metallic-gold-ribbon-flowers-main.png","Metallic Gold Ribbon Flowers (Pack of 10/100) | Me Nestham","Purchase shiny golden ribbon flowers with green stems. Perfect separator beads for making garland garlands. Packs of 10 and 100 available.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"bb6e65dd-6893-4ee9-ae1e-d8e8f8d0f9bf","1ea680cc-7735-4cbb-8721-6bb2366ead52","Ribbed Barrel Plastic Spacer Beads","ribbed-barrel-plastic-spacer-beads","Ribbed barrel white plastic beads for garland spacer separators.","High-quality white plastic beads in a ribbed barrel shape. Extremely durable, lightweight, and smooth-edged, ideal as garland-making spacer beads.

[Search Tags: Beads, Plastic, Barrel, Spacer, Garland, DIY, Craft, Temple, Home Decor]
[Keywords: barrel beads, ribbed spacer beads, white plastic beads, garland spacer beads]","MNB-BD-001","40","52","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/beads/ribbed-barrel-plastic-spacer-beads-main.png","Ribbed Barrel Plastic Spacer Beads | Me Nestham","Buy premium white ribbed barrel plastic beads by weight. Ideal for garland making, DIY decorations, and crafts. 100g and 250g options.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"c9898aad-bd1b-44e6-9f9e-5a1bb8e31945","1ea680cc-7735-4cbb-8721-6bb2366ead52","Ribbed Pumpkin Plastic Spacer Beads","ribbed-pumpkin-plastic-spacer-beads","Ribbed pumpkin white plastic beads for garland spacer separators.","Elegant white plastic beads in a ribbed pumpkin shape. Adds texture and class to handmade garlands, torans, and traditional backdrops.

[Search Tags: Beads, Plastic, Pumpkin, Spacer, Garland, DIY, Craft, Temple, Home Decor]
[Keywords: pumpkin beads, ribbed pumpkin beads, plastic beads, spacer beads]","MNB-BD-002","40","52","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/beads/ribbed-pumpkin-plastic-spacer-beads-main.png","Ribbed Pumpkin Plastic Spacer Beads | Me Nestham","Elegant white pumpkin-shaped ribbed beads. High-quality plastic spacer beads for traditional garlands. Available in 100g and 250g packs.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"74e5dc0c-1da9-4bcb-8f14-32051ef80c80","e9dc4845-6e4a-4036-9870-63a890681db8","MDF Laser Cut Red Lotus Wall Hangings (10pcs)","mdf-laser-cut-red-lotus-wall-hangings","Pack of 10 MDF laser-cut red felt lotus wall hanging cutouts.","Beautiful laser-cut wooden MDF lotus flower shapes backed with premium red fabric/felt. Perfect for festive wall decor, backdrop styling, and DIY housewarming hangings.

[Search Tags: Lotus, MDF, Wooden, Wall Hanging, Decoration, DIY, Wedding, Festival, Home Decor]
[Keywords: mdf lotus cutouts, wood lotus shapes, red felt lotus, backdrop flower cutouts]","MNB-DI-001","190","247","100","true","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/decorative-items/mdf-laser-cut-red-lotus-wall-hangings-main.png","MDF Laser Cut Red Lotus Wall Hangings (Pack of 10) | Me Nestham","Festive red fabric-backed wooden MDF lotus cutouts. Pack of 10 lotuses for ₹190. Elegant traditional home decor accessory.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"ee22c2bd-1925-4e49-aa45-c81a208f5127","f5139b07-6ca4-4085-801e-d0d636d84b21","Artificial Satin Rose Flowers","artificial-satin-rose-flowers","Pack of 10 premium artificial satin roses for garland making.","Premium artificial satin roses for garland making and floral crafts. Features natural-looking layered petals, available in classic vibrant colors.

[Search Tags: Rose, Satin, Flower, Artificial, Garland, DIY, Craft, Wedding, Decoration, Home Decor]
[Keywords: satin roses, artificial roses, craft rose flowers, garland making roses]","MNB-AF-002","80","104","100","true","true","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/artificial-flowers/artificial-satin-rose-flowers-collage.png","Premium Artificial Satin Rose Flowers (Pack of 10) | Me Nestham","High-quality satin rose flowers in Red, Yellow, White, and Pink. Pack of 10 roses for garland separators & wedding decor.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"e961b905-74c0-414d-8b46-37ab1d6e6ba5","07db75af-b331-474d-9918-d6ee6fdf400b","Snowflake Plastic Flower Separators","snowflake-plastic-flower-separators","Snowflake shape white plastic flower separators for garland backing.","Durable white plastic flower separators in a classic 8-arm snowflake design. Widely used in professional garland crafting to give structure, balance, and volume.

[Search Tags: Plastic, Separators, Snowflake, Garland, Spacer, DIY, Craft, Festival, Home Decor]
[Keywords: snowflake separator, plastic separator, garland backing, spacer, flower parts]","MNB-PF-001","200","260","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/plastic-flower-parts/snowflake-plastic-flower-separators-main.png","Snowflake Plastic Flower Separators for Garlands | Me Nestham","Traditional 8-arm white snowflake plastic separators for garland backing. High quality, light weight. 250g, 500g, and 1kg options available.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
"9ea93086-e56c-40f3-8480-f03558fa91e1","07db75af-b331-474d-9918-d6ee6fdf400b","Six-Arm Cup Plastic Flower Separators","six-arm-cup-plastic-flower-separators","6-arm cup shape white plastic flower separators for professional garland making.","Structured 6-arm plastic flower cup separators. Features mini cups at the tips of the arms to hold flower petals or beads securely in place.

[Search Tags: Plastic, Separators, Cup, Garland, Spacer, DIY, Craft, Festival, Home Decor]
[Keywords: six-arm cup separator, plastic separators, garland spacer, flower cup]","MNB-PF-002","200","260","100","false","false","true","https://tqpybretaouglwcgzqvb.supabase.co/storage/v1/object/public/product-images/products/plastic-flower-parts/six-arm-cup-plastic-flower-separators-main.png","Six-Arm Cup Plastic Flower Separators | Me Nestham","Professional 6-arm cup design plastic flower separators for garland making. Available in 250g, 500g, and 1kg bags. Best prices online.","2026-07-24T19:08:32.556Z","2026-07-24T19:08:32.556Z"
